hash,date,bug,review,lines_added,lines_removed,num_revisions,time_uploaded,time_pushed,is_unittested,is_unittest_only,num_msg,time_plus2,num_unresolved_comments,category,is_buggy,researcher1,researcher2
a548902f8e836b280439d69eaea16c85a3032237,2018-01-26,crbug.com/794404,https://chromium-review.googlesource.com/888546,4,186,2,2018-01-26 19:30:04,2018-01-30 00:41:17,,,11,2018-01-29 19:50:32,0,,,,
b220d669d465377e2bb55a37a7028c72d93dcef3,2018-07-10,crbug.com/794404,https://chromium-review.googlesource.com/1132843,15,14,3,2018-07-11 06:59:01,2018-07-12 01:49:55,,,21,2018-07-11 16:26:55,0,,,,
02855c25944b8d64e569e9e8051be514acf40438,2017-09-06,crbug.com/717785,https://chromium-review.googlesource.com/658297,203,2,22,2017-09-08 21:11:13,2017-11-08 01:53:37,,,56,2017-11-03 23:38:57,4,,,,
6479359a91e0082646a520a846fa606beca3ba21,2018-04-20,crbug.com/831815,https://chromium-review.googlesource.com/1022737,4,1,3,2018-04-20 21:37:51,2018-04-24 20:31:40,,,13,2018-04-23 17:52:06,0,,,,
9fd76b6b1dc4a80f8464427e981220c29abc1d66,2017-12-11,crbug.com/764337,https://chromium-review.googlesource.com/819412,34,30,6,2017-12-11 14:26:04,2017-12-14 18:18:49,,,32,2017-12-14 17:59:21,1,,,,
fdc488d61200fd3445033c61b01c3d6ddfa46bb2,2018-07-19,crbug.com/865845,https://chromium-review.googlesource.com/1144643,136,146,4,2018-07-20 02:37:22,2018-07-24 04:11:16,,,30,2018-07-20 21:36:56,1,,,,
e58bddb7f6708f1f9248fad7ee7896a4aeb435c0,2018-04-10,crbug.com/831266,https://chromium-review.googlesource.com/1005181,197,3,10,2018-04-10 18:48:12,2018-04-24 09:59:42,,,45,2018-04-19 17:20:19,0,,,,
ab5a0af8e6ebac0211da5b08010e4855ce463108,2017-10-12,crbug.com/769107,https://chromium-review.googlesource.com/716826,31,32,1,2017-10-12 21:59:00,2017-10-28 16:42:47,,,18,2017-10-13 00:35:20,0,,,,
e7f1ac4f4c25c2af535efdb684037fa283098b0f,2018-02-13,crbug.com/810184,https://chromium-review.googlesource.com/917306,2,2,1,2018-02-13 23:07:55,2018-03-07 01:25:11,,,24,2018-02-22 15:30:09,0,,,,
d7da8f4118c10d00d02b6274edd2f88971a6cb22,2017-08-23,crbug.com/767120,https://chromium-review.googlesource.com/636105,742,16,23,2017-08-25 19:02:17,2017-10-07 04:35:23,,,111,2017-10-03 05:08:30,8,,,,
